Description,JSON
"In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","{""rootcause"": ""incorrect bounds check"", ""weakness"": ""out of bounds read"", ""impact"": ""local information disclosure"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""geniezone driver""}"
"In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","{""rootcause"": ""integer overflow"", ""weakness"": ""out of bounds read"", ""impact"": ""local information disclosure"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""ccu driver""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","{""rootcause"": ""missing bounds check"", ""weakness"": ""out of bounds write"", ""impact"": ""local escalation of privilege"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""apusys""}"
"In apusys, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05687781.","{""rootcause"": ""missing bounds check"", ""weakness"": ""memory corruption"", ""impact"": ""local escalation of privilege"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","{""rootcause"": ""missing bounds check"", ""weakness"": ""out of bounds write"", ""impact"": ""local escalation of privilege"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","{""rootcause"": ""missing bounds check"", ""weakness"": ""out of bounds write"", ""impact"": ""local escalation of privilege"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""apusys""}"
"In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","{""rootcause"": ""incorrect bounds check"", ""weakness"": ""out of bounds read"", ""impact"": ""local information disclosure"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""apusys""}"
"In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","{""rootcause"": ""incorrect bounds check"", ""weakness"": ""out of bounds read"", ""impact"": ""local information disclosure"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","{""rootcause"": ""missing bounds check"", ""weakness"": ""out of bounds write"", ""impact"": ""local escalation of privilege"", ""vector"": """", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""apusys""}"
"In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","{""rootcause"": ""race condition"", ""weakness"": ""memory corruption"", ""impact"": ""local escalation of privilege"", ""vector"": """", ""attacker"": """", ""product"": ""Android"", ""version"": ""Android-11"", ""component"": ""pf_write_buf of FuseDaemon.cpp""}"
"In C2SoftMP3::process() of C2SoftMp3Dec.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-9Android ID: A-193363621","{""rootcause"": """", ""weakness"": [""heap buffer overflow"", ""out of bounds write""], ""impact"": ""remote information disclosure"", ""vector"": """", ""attacker"": """", ""product"": ""Android"", ""version"": ""Android-10 Android-11 Android-12 Android-9"", ""component"": ""C2SoftMP3::process() of C2SoftMp3Dec.cpp""}"
"In PVInitVideoEncoder of mp4enc_api.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12Android ID: A-190435883","{""rootcause"": """", ""weakness"": [""heap buffer overflow"", ""out of bounds read""], ""impact"": ""local information disclosure"", ""vector"": """", ""attacker"": """", ""product"": ""Android"", ""version"": ""Android-12"", ""component"": ""PVInitVideoEncoder of mp4enc_api.cpp""}"
"In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A","{""rootcause"": """", ""weakness"": [""integer overflow"", ""out of bounds read""], ""impact"": ""local information disclosure"", ""vector"": """", ""attacker"": """", ""product"": ""Android"", ""version"": ""Android kernel"", ""component"": ""valid_ipc_dram_addr of cm_access_control.c""}"
"A Stack-based buffer overflow vulnerability in SMA100 Apache httpd server's mod_cgi module environment variables allows a remote unauthenticated attacker to potentially execute code as a 'nobody' user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions.","{""rootcause"": """", ""weakness"": ""Stack-based buffer overflow"", ""impact"": ""potentially execute code as a 'nobody' user"", ""vector"": """", ""attacker"": ""remote unauthenticated attacker"", ""product"": ""SMA100 Apache httpd server"", ""version"": ""firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions"", ""component"": ""mod_cgi module""}"
